item_name,scale,factor,reverse,loading,type,error_var,direct_age,direct_edu,direct_income
pat_blind_1,likert5,blind,0,0.85,ordinal,,0.20,,
pat_blind_2,likert5,blind,0,0.80,ordinal,,,,-0.15
pat_blind_3,likert5,blind,0,0.75,ordinal,,0.15,-0.10,
pat_blind_4,likert5,blind,1,0.70,ordinal,,,,
pat_constructive_1,likert5,constructive,0,0.82,ordinal,,-0.18,,
pat_constructive_2,likert5,constructive,0,0.78,ordinal,,,-0.12,0.10
pat_constructive_3,likert5,constructive,0,0.75,ordinal,,,,
pat_constructive_4,likert5,constructive,1,0.72,ordinal,,-0.10,,
sec_dl_1,likert5,dl,0,0.80,ordinal,,,0.15,
sec_dl_2,likert5,dl,0,0.76,ordinal,,,,0.12
sec_dl_3,likert5,dl,0,0.73,ordinal,,0.12,,
sec_dl_4,likert5,dl,1,0.70,ordinal,,,,
sec_fp_1,likert5,fp,0,0.78,ordinal,,0.18,,
sec_fp_2,likert5,fp,0,0.75,ordinal,,,,-0.08
sec_fp_3,likert5,fp,0,0.72,ordinal,,,,
sec_fp_4,likert5,fp,1,0.68,ordinal,,0.15,,
pat_blind_cont,continuous,blind,0,0.90,continuous,0.5,,,
pat_constructive_cont,continuous,constructive,0,0.88,continuous,0.5,,,
sec_dl_cont,continuous,dl,0,0.85,continuous,0.5,,,
sec_fp_cont,continuous,fp,0,0.82,continuous,0.5,,,
military_positive,binary,blind,0,0.60,binary,,0.25,,
religion_important,binary,fp,0,0.55,binary,,0.20,,
