scenario_id,dur1,dur2,dur3,fee1,fee2,fee3,exempt1,exempt2,exempt3
1,1,3,24,1690000,350000,0,1,1,0
2,18,19,24,550000,257000,0,1,1,0
3,16,12,24,74000,956000,0,1,1,0
4,5,15,24,1482000,335000,0,1,1,0
5,18,19,24,175000,22000,0,1,1,0
6,15,14,24,265000,859000,0,1,1,0
7,6,1,24,482000,738000,0,1,1,0
8,10,1,24,29000,361000,0,1,1,0
9,1,22,24,3844000,66000,0,1,1,0
10,17,16,24,104000,1115000,0,1,1,0
11,14,15,24,811000,451000,0,1,1,0
12,1,17,24,3553000,339000,0,1,1,0
13,12,1,24,744000,4109000,0,1,1,0
14,16,17,24,838000,150000,0,1,1,0
15,10,7,24,213000,1713000,0,1,1,0
16,11,5,24,13000,62000,0,1,1,0
17,11,10,24,787000,1832000,0,1,1,0
18,5,15,24,3034000,1000000,0,1,1,0
19,1,17,24,312000,37000,0,1,1,0
20,6,7,24,344000,181000,0,1,1,0
21,22,2,24,39000,1464000,0,1,1,0
22,23,23,24,0,0,0,1,1,0
23,11,10,24,163000,724000,0,1,1,0
24,23,7,24,28000,621000,0,1,1,0
25,21,1,24,119000,1209000,0,1,1,0
26,23,23,24,0,0,0,1,1,0
27,7,8,24,640000,258000,0,1,1,0
28,7,8,24,1031000,398000,0,1,1,0
29,7,8,24,2379000,1876000,0,1,1,0
30,9,1,24,1155000,3624000,0,1,1,0
31,6,9,24,1805000,702000,0,1,1,0
32,12,23,24,890000,39000,0,1,1,0
33,22,21,24,43000,103000,0,1,1,0
34,19,15,24,183000,749000,0,1,1,0
35,23,22,24,114000,279000,0,1,1,0
36,20,21,24,141000,54000,0,1,1,0
37,6,17,24,1348000,288000,0,1,1,0
38,4,3,24,1781000,2217000,0,1,1,0
39,13,14,24,92000,72000,0,1,1,0
40,3,19,24,1180000,160000,0,1,1,0
41,7,8,24,1220000,707000,0,1,1,0
42,15,14,24,185000,800000,0,1,1,0
43,13,16,24,1214000,288000,0,1,1,0
44,21,22,24,289000,128000,0,1,1,0
45,18,8,24,717000,2392000,0,1,1,0
46,5,6,24,1385000,664000,0,1,1,0
47,9,8,24,832000,1105000,0,1,1,0
48,17,18,24,391000,275000,0,1,1,0
49,1,7,24,1327000,743000,0,1,1,0
50,22,21,24,38000,186000,0,1,1,0
51,20,16,24,200000,637000,0,1,1,0
52,1,21,24,3496000,256000,0,1,1,0
53,20,19,24,342000,497000,0,1,1,0
54,12,11,24,86000,364000,0,1,1,0
55,10,4,24,413000,978000,0,1,1,0
56,5,6,24,3861000,520000,0,1,1,0
57,6,7,24,1274000,724000,0,1,1,0
58,19,22,24,187000,17000,0,1,1,0
59,21,16,24,35000,598000,0,1,1,0
60,5,17,24,3719000,707000,0,1,1,0
61,10,9,24,46000,270000,0,1,1,0
62,10,9,24,784000,2193000,0,1,1,0
63,7,9,24,2134000,690000,0,1,1,0
64,13,1,24,322000,2696000,0,1,1,0
65,15,22,24,191000,9000,0,1,1,0
66,18,19,24,907000,502000,0,1,1,0
67,16,2,24,770000,4805000,0,1,1,0
68,15,3,24,370000,1396000,0,1,1,0
69,19,20,24,180000,68000,0,1,1,0
70,4,5,24,418000,85000,0,1,1,0
71,23,23,24,0,0,0,1,1,0
72,21,12,24,182000,1096000,0,1,1,0
73,13,10,24,410000,692000,0,1,1,0
74,11,12,24,578000,100000,0,1,1,0
75,4,5,24,2440000,620000,0,1,1,0
76,20,21,24,1029000,200000,0,1,1,0
77,22,1,24,19000,426000,0,1,1,0
78,19,4,24,202000,1289000,0,1,1,0
79,17,16,24,80000,476000,0,1,1,0
80,19,18,24,415000,613000,0,1,1,0
81,14,18,24,1925000,728000,0,1,1,0
82,8,9,24,1289000,478000,0,1,1,0
83,5,6,24,1670000,1407000,0,1,1,0
84,19,20,24,248000,121000,0,1,1,0
85,23,23,24,0,0,0,1,1,0
