Type,Model,LL,K,AIC,BIC,ρ²,Rank
HCM,HCM-Simple: Patriotism on Fee,-808.6855222100471,5,1627.3710444200942,1659.9570103771755,0.8527805431358413,1
HCM,HCM-CFA: CFA Latent Variables,-808.106087307774,8,1632.212174615548,1684.349720146878,0.8528860280113064,2
HCM,HCM-TRUE: True Latent Values (Benchmark),-814.9515475069079,10,1649.9030950138158,1715.075026927978,0.8516398267317936,3
MNL,Model 1: Basic MNL,-821.023878680931,4,1650.047757361862,1676.116530127527,0.8505343719254606,4
HCM,MNL-Baseline,-825.2133535245423,4,1658.4267070490846,1684.4954798147496,0.8497716870571363,5
MNL,Model 2: MNL + Demo interactions (fee),-822.4161022500256,7,1658.8322045000511,1704.452556839965,0.8502809206244958,6
MNL,Model 4: MNL + Likert proxies,-822.4161022500256,10,1664.8322045000511,1730.0041364142137,0.8502809206244958,7
MNL,Model 3: MNL + Demo interactions (all),-822.4161022500256,12,1668.8322045000511,1747.038522797046,0.8502809206244958,8
MNL,Model 5: Full MNL (demo + Likert),-822.4161022500256,15,1674.8322045000511,1772.5901023712947,0.8502809206244958,9
MXL,MXL-3: Random All,-846.8531904213961,6,1705.7063808427922,1744.8095399912895,0.8458322013768718,10
MXL,MXL-1: Random Fee,-854.7148866530358,5,1719.4297733060716,1752.015739263153,0.8444009965172992,11
MXL,MXL-2: Random Fee+Dur,-884.018412761656,5,1778.036825523312,1810.6227914803933,0.8390663527287892,12
HCM,HCM-MIMIC: Demographics + Latent,-1499.6797311904754,10,3019.359462380951,3084.5313942951134,0.7269865362586476,13
