item_name,scale,factor,reverse,loading
patriotism_1,likert5,blind,0,0.85
patriotism_2,likert5,blind,0,0.83
patriotism_3,likert5,blind,0,0.81
patriotism_4,likert5,blind,0,0.79
patriotism_5,likert5,blind,1,0.78
patriotism_6,likert5,blind,0,0.77
patriotism_7,likert5,blind,1,0.76
patriotism_8,likert5,blind,0,0.75
patriotism_9,likert5,blind,0,0.74
patriotism_10,likert5,blind,0,0.73
patriotism_11,likert5,constructive,0,0.82
patriotism_12,likert5,constructive,1,0.80
patriotism_13,likert5,constructive,0,0.79
patriotism_14,likert5,constructive,0,0.78
patriotism_15,likert5,constructive,0,0.77
patriotism_16,likert5,constructive,0,0.76
patriotism_17,likert5,constructive,0,0.75
patriotism_18,likert5,constructive,0,0.74
patriotism_19,likert5,constructive,0,0.73
patriotism_20,likert5,constructive,0,0.72
secularism_1,likert5,dl,1,0.80
secularism_2,likert5,dl,0,0.79
secularism_3,likert5,dl,0,0.78
secularism_4,likert5,dl,0,0.77
secularism_5,likert5,dl,0,0.76
secularism_6,likert5,dl,0,0.75
secularism_7,likert5,dl,0,0.74
secularism_8,likert5,dl,0,0.73
secularism_9,likert5,dl,0,0.72
secularism_10,likert5,dl,0,0.71
secularism_11,likert5,dl,0,0.70
secularism_12,likert5,dl,0,0.69
secularism_13,likert5,dl,1,0.68
secularism_14,likert5,dl,0,0.67
secularism_15,likert5,dl,0,0.66
secularism_16,likert5,fp,0,0.78
secularism_17,likert5,fp,0,0.76
secularism_18,likert5,fp,0,0.74
secularism_19,likert5,fp,0,0.72
secularism_20,likert5,fp,0,0.70
secularism_21,likert5,fp,0,0.69
secularism_22,likert5,fp,0,0.68
secularism_23,likert5,fp,0,0.67
secularism_24,likert5,fp,0,0.66
secularism_25,likert5,fp,0,0.65
