ID,task,CHOICE,scenario_id,age_idx,pat_blind_1,pat_blind_2,pat_blind_3,pat_blind_4,pat_blind_5,dur1,dur2,dur3,fee1,fee2,fee3,exempt1,exempt2,exempt3,fee1_10k,fee2_10k,fee3_10k
0,0,1,718,3,3,3,1,1,2,18,23,24,1223000,83000,0,1,1,0,122.3,8.3,0.0
0,1,2,787,3,3,3,1,1,2,21,11,24,303000,1523000,0,1,1,0,30.3,152.3,0.0
0,2,2,501,3,3,3,1,1,2,3,15,24,478000,470000,0,1,1,0,47.8,47.0,0.0
0,3,2,371,3,3,3,1,1,2,10,5,24,51000,126000,0,1,1,0,5.1,12.6,0.0
0,4,1,403,3,3,3,1,1,2,10,17,24,214000,717000,0,1,1,0,21.4,71.7,0.0
0,5,1,823,3,3,3,1,1,2,13,5,24,93000,131000,0,1,1,0,9.3,13.1,0.0
0,6,1,93,3,3,3,1,1,2,8,10,24,1803000,102000,0,1,1,0,180.3,10.2,0.0
0,7,2,555,3,3,3,1,1,2,20,3,24,1925000,565000,0,1,1,0,192.5,56.5,0.0
0,8,2,277,3,3,3,1,1,2,8,1,24,448000,927000,0,1,1,0,44.8,92.7,0.0
0,9,1,632,3,3,3,1,1,2,14,20,24,1771000,793000,0,1,1,0,177.1,79.3,0.0
1,0,2,744,4,3,3,4,4,4,20,23,24,1741000,142000,0,1,1,0,174.1,14.2,0.0
1,1,3,684,4,3,3,4,4,4,16,13,24,904000,1193000,0,1,1,0,90.4,119.3,0.0
1,2,1,411,4,3,3,4,4,4,5,14,24,65000,1073000,0,1,1,0,6.5,107.3,0.0
1,3,2,326,4,3,3,4,4,4,10,5,24,205000,62000,0,1,1,0,20.5,6.2,0.0
1,4,1,796,4,3,3,4,4,4,19,4,24,346000,1962000,0,1,1,0,34.6,196.2,0.0
1,5,2,190,4,3,3,4,4,4,8,16,24,1967000,452000,0,1,1,0,196.7,45.2,0.0
1,6,2,331,4,3,3,4,4,4,11,10,24,150000,181000,0,1,1,0,15.0,18.1,0.0
1,7,2,227,4,3,3,4,4,4,9,16,24,1752000,103000,0,1,1,0,175.2,10.3,0.0
1,8,3,161,4,3,3,4,4,4,4,16,24,1837000,1593000,0,1,1,0,183.7,159.3,0.0
1,9,1,833,4,3,3,4,4,4,12,7,24,203000,253000,0,1,1,0,20.3,25.3,0.0
2,0,2,805,3,4,4,5,4,5,21,5,24,299000,598000,0,1,1,0,29.9,59.8,0.0
2,1,3,8,3,4,4,5,4,5,10,1,24,1083000,835000,0,1,1,0,108.3,83.5,0.0
2,2,1,472,3,4,4,5,4,5,10,22,24,77000,389000,0,1,1,0,7.7,38.9,0.0
2,3,2,706,3,4,4,5,4,5,20,17,24,1976000,91000,0,1,1,0,197.6,9.1,0.0
2,4,3,506,3,4,4,5,4,5,16,9,24,1442000,809000,0,1,1,0,144.2,80.9,0.0
2,5,2,569,3,4,4,5,4,5,14,8,24,1996000,96000,0,1,1,0,199.6,9.6,0.0
2,6,1,440,3,4,4,5,4,5,6,18,24,96000,722000,0,1,1,0,9.6,72.2,0.0
2,7,3,669,3,4,4,5,4,5,12,20,24,1905000,973000,0,1,1,0,190.5,97.3,0.0
2,8,2,80,3,4,4,5,4,5,10,1,24,1637000,442000,0,1,1,0,163.7,44.2,0.0
2,9,3,765,3,4,4,5,4,5,17,5,24,457000,1298000,0,1,1,0,45.7,129.8,0.0
3,0,3,35,2,3,3,5,4,2,11,10,24,1385000,633000,0,1,1,0,138.5,63.3,0.0
3,1,2,234,2,3,3,5,4,2,8,17,24,1424000,147000,0,1,1,0,142.4,14.7,0.0
3,2,3,918,2,3,3,5,4,2,23,19,24,455000,1653000,0,1,1,0,45.5,165.3,0.0
3,3,1,294,2,3,3,5,4,2,8,4,24,219000,1963000,0,1,1,0,21.9,196.3,0.0
3,4,3,506,2,3,3,5,4,2,16,9,24,1442000,809000,0,1,1,0,144.2,80.9,0.0
3,5,3,784,2,3,3,5,4,2,13,3,24,421000,519000,0,1,1,0,42.1,51.9,0.0
3,6,1,418,2,3,3,5,4,2,6,21,24,457000,1750000,0,1,1,0,45.7,175.0,0.0
3,7,1,815,2,3,3,5,4,2,18,2,24,172000,229000,0,1,1,0,17.2,22.9,0.0
