ID,task,CHOICE,scenario_id,age_idx,edu_idx,income_indiv_idx,pat_blind_1,pat_blind_2,pat_blind_3,pat_blind_4,pat_blind_5,pat_const_1,pat_const_2,pat_const_3,pat_const_4,pat_const_5,sec_dl_1,sec_dl_2,sec_dl_3,sec_dl_4,sec_dl_5,sec_fp_1,sec_fp_2,sec_fp_3,sec_fp_4,sec_fp_5,dur1,dur2,dur3,fee1,fee2,fee3,exempt1,exempt2,exempt3,fee1_10k,fee2_10k,fee3_10k
0,0,1,498,3,3,5,1,2,4,3,4,3,3,2,4,3,3,1,4,2,2,4,2,2,2,3,4,22,24,243000,349000,0,1,1,0,24.3,34.9,0.0
0,1,3,44,3,3,5,1,2,4,3,4,3,3,2,4,3,3,1,4,2,2,4,2,2,2,3,3,3,24,1284000,1631000,0,1,1,0,128.4,163.1,0.0
0,2,3,923,3,3,5,1,2,4,3,4,3,3,2,4,3,3,1,4,2,2,4,2,2,2,3,23,22,24,485000,1019000,0,1,1,0,48.5,101.9,0.0
0,3,3,745,3,3,5,1,2,4,3,4,3,3,2,4,3,3,1,4,2,2,4,2,2,2,3,22,18,24,1923000,341000,0,1,1,0,192.3,34.1,0.0
0,4,3,906,3,3,5,1,2,4,3,4,3,3,2,4,3,3,1,4,2,2,4,2,2,2,3,19,20,24,383000,1954000,0,1,1,0,38.3,195.4,0.0
0,5,1,371,3,3,5,1,2,4,3,4,3,3,2,4,3,3,1,4,2,2,4,2,2,2,3,10,5,24,51000,126000,0,1,1,0,5.1,12.6,0.0
0,6,3,463,3,3,5,1,2,4,3,4,3,3,2,4,3,3,1,4,2,2,4,2,2,2,3,1,21,24,286000,392000,0,1,1,0,28.6,39.2,0.0
0,7,3,130,3,3,5,1,2,4,3,4,3,3,2,4,3,3,1,4,2,2,4,2,2,2,3,4,12,24,1034000,1986000,0,1,1,0,103.4,198.6,0.0
0,8,3,565,3,3,5,1,2,4,3,4,3,3,2,4,3,3,1,4,2,2,4,2,2,2,3,18,2,24,1678000,1049000,0,1,1,0,167.8,104.9,0.0
0,9,3,670,3,3,5,1,2,4,3,4,3,3,2,4,3,3,1,4,2,2,4,2,2,2,3,22,12,24,988000,710000,0,1,1,0,98.8,71.0,0.0
1,0,1,348,2,2,5,3,3,4,3,4,3,4,1,2,2,2,5,1,4,1,3,3,3,4,2,2,4,24,404000,297000,0,1,1,0,40.4,29.7,0.0
