ID,task,CHOICE,scenario_id,age_idx,edu_idx,income_indiv_idx,dur1,dur2,dur3,fee1,fee2,fee3,exempt1,exempt2,exempt3,fee1_10k,fee2_10k,fee3_10k
0,0,2,86,3,3,5,5,9,27,1224044,994943,0,1,1,0,122.4044,99.4943,0.0
0,1,3,698,3,3,5,4,6,21,1309153,1142478,0,1,1,0,130.9153,114.2478,0.0
0,2,1,501,3,3,5,11,1,27,956437,1845376,0,1,1,0,95.6437,184.5376,0.0
0,3,3,371,3,3,5,8,5,19,1056962,1298581,0,1,1,0,105.6962,129.8581,0.0
0,4,1,888,3,3,5,11,2,25,867429,2000000,0,1,1,0,86.7429,200.0,0.0
0,5,3,64,3,3,5,4,9,25,1602620,1101433,0,1,1,0,160.262,110.1433,0.0
0,6,3,678,3,3,5,2,6,21,1432235,1258015,0,1,1,0,143.2235,125.8015,0.0
0,7,3,779,3,3,5,7,1,23,880149,1524094,0,1,1,0,88.0149,152.4094,0.0
0,8,3,367,3,3,5,3,9,22,1395292,989476,0,1,1,0,139.5292,98.9476,0.0
0,9,3,968,3,3,5,10,6,19,945777,1493148,0,1,1,0,94.5777,149.3148,0.0
1,0,3,161,1,3,2,6,2,27,925731,1507706,0,1,1,0,92.5731,150.7706,0.0
1,1,1,833,1,3,2,11,3,23,949464,1905323,0,1,1,0,94.9464,190.5323,0.0
1,2,3,240,1,3,2,11,2,26,989753,1235930,0,1,1,0,98.9753,123.593,0.0
1,3,1,683,1,3,2,10,5,22,819166,1629280,0,1,1,0,81.9166,162.928,0.0
1,4,2,278,1,3,2,6,11,26,2000000,706113,0,1,1,0,200.0,70.6113,0.0
1,5,1,781,1,3,2,6,5,22,719006,1909399,0,1,1,0,71.9006,190.9399,0.0
1,6,2,856,1,3,2,2,9,25,1980874,798431,0,1,1,0,198.0874,79.8431,0.0
1,7,2,566,1,3,2,3,9,22,1253168,542417,0,1,1,0,125.3168,54.2417,0.0
1,8,3,348,1,3,2,1,10,18,1254069,1145202,0,1,1,0,125.4069,114.5202,0.0
1,9,3,437,1,3,2,2,8,18,1541788,1016881,0,1,1,0,154.1788,101.6881,0.0
2,0,3,506,1,3,2,3,9,19,1781146,953676,0,1,1,0,178.1146,95.3676,0.0
2,1,1,784,1,3,2,10,1,26,704655,1306695,0,1,1,0,70.4655,130.6695,0.0
2,2,3,772,1,3,2,10,6,27,1054057,1785869,0,1,1,0,105.4057,178.5869,0.0
2,3,3,723,1,3,2,2,10,21,1491008,1025264,0,1,1,0,149.1008,102.5264,0.0
2,4,2,167,1,3,2,4,7,22,1261670,582156,0,1,1,0,126.167,58.2156,0.0
2,5,3,382,1,3,2,11,6,25,1031791,1181269,0,1,1,0,103.1791,118.1269,0.0
2,6,3,367,1,3,2,3,9,22,1395292,989476,0,1,1,0,139.5292,98.9476,0.0
2,7,3,909,1,3,2,4,11,25,1338539,1250437,0,1,1,0,133.8539,125.0437,0.0
2,8,3,737,1,3,2,6,1,22,1131273,2000000,0,1,1,0,113.1273,200.0,0.0
2,9,3,273,1,3,2,5,9,26,1166022,1035957,0,1,1,0,116.6022,103.5957,0.0
3,0,3,493,1,4,4,6,4,18,995089,1359415,0,1,1,0,99.5089,135.9415,0.0
3,1,3,720,1,4,4,8,5,22,1187200,1496910,0,1,1,0,118.72,149.691,0.0
3,2,2,787,1,4,4,1,10,27,1542907,853752,0,1,1,0,154.2907,85.3752,0.0
3,3,3,42,1,4,4,7,3,26,1101654,1790724,0,1,1,0,110.1654,179.0724,0.0
3,4,1,300,1,4,4,10,5,27,552041,1506931,0,1,1,0,55.2041,150.6931,0.0
3,5,2,926,1,4,4,8,2,20,708127,1204560,0,1,1,0,70.8127,120.456,0.0
3,6,2,468,1,4,4,6,11,18,2000000,556362,0,1,1,0,200.0,55.6362,0.0
3,7,2,783,1,4,4,1,6,21,1375781,660934,0,1,1,0,137.5781,66.0934,0.0
3,8,2,808,1,4,4,1,9,26,1561003,576042,0,1,1,0,156.1003,57.6042,0.0
3,9,3,267,1,4,4,7,2,19,847967,1750965,0,1,1,0,84.7967,175.0965,0.0
4,0,2,666,1,3,0,6,10,24,1624378,573465,0,1,1,0,162.4378,57.3465,0.0
4,1,3,673,1,3,0,3,7,26,1175215,729923,0,1,1,0,117.5215,72.9923,0.0
4,2,3,976,1,3,0,3,11,25,1984706,1031881,0,1,1,0,198.4706,103.1881,0.0
4,3,1,231,1,3,0,7,2,18,904600,1929401,0,1,1,0,90.46,192.9401,0.0
4,4,1,203,1,3,0,6,2,18,693035,1938473,0,1,1,0,69.3035,193.8473,0.0
4,5,1,953,1,3,0,8,6,21,1061129,1302322,0,1,1,0,106.1129,130.2322,0.0
4,6,1,299,1,3,0,7,3,19,1042760,1364642,0,1,1,0,104.276,136.4642,0.0
4,7,3,436,1,3,0,3,8,19,1690477,1127536,0,1,1,0,169.0477,112.7536,0.0
4,8,2,470,1,3,0,1,10,23,1143088,500000,0,1,1,0,114.3088,50.0,0.0
4,9,3,316,1,3,0,10,3,19,748027,1575334,0,1,1,0,74.8027,157.5334,0.0
5,0,3,68,3,2,0,7,5,25,750816,1338839,0,1,1,0,75.0816,133.8839,0.0
5,1,1,832,3,2,0,10,3,24,1019084,1389261,0,1,1,0,101.9084,138.9261,0.0
5,2,3,999,3,2,0,4,8,22,1605627,1137262,0,1,1,0,160.5627,113.7262,0.0
5,3,2,778,3,2,0,3,10,25,1311914,737671,0,1,1,0,131.1914,73.7671,0.0
5,4,2,18,3,2,0,4,9,24,1350372,687617,0,1,1,0,135.0372,68.7617,0.0
